"SC","名称","市場","業種","日時","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"0001","日経225（日経平均株価）","東証","株価指数","2017/3/10 15:15","19604.61","286.03","+1.48","19318.58","19444.71","19623.72","19427.81","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","2017/3/10 15:00","1574.01","19.33","+1.24","1554.68","1567.07","1574.87","1565.27","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","2017/3/10 15:00","3135","-20","-0.63","3155","3165","3175","3110","110700","348260","34260","2455","3855"
"1332","日本水産","東証一部","水産・農林","2017/3/10 15:00","561","+13","+2.37","548","553","562","550","4189100","2334291","175273","448","648"
"1333","マルハニチロ","東証一部","水産・農林","2017/3/10 15:00","3490","+25","+0.72","3465","3440","3495","3440","290100","1005480","183773","2765","4165"
"1352","ホウスイ","東証一部","卸売","2017/3/10 15:00","129","-1","-0.77","130","130","131","129","76000","9853","10809","80","180"
"1376","カネコ種苗","東証一部","水産・農林","2017/3/10 15:00","1473","+20","+1.38","1453","1483","1483","1467","13700","20233","17341","1153","1753"
"1377","サカタのタネ","東証一部","水産・農林","2017/3/10 15:00","3325","+45","+1.37","3280","3320","3345","3305","127400","423245","160966","2580","3980"
"1379","ホクト","東証一部","水産・農林","2017/3/10 15:00","2210","+45","+2.08","2165","2203","2210","2186","73400","161823","73723","1665","2665"
"1380","秋川牧園","JQS","水産・農林","-","-","0","0.00","650","-","-","-","-","-","2716","550","750"
"1381","アクシーズ","JQS","水産・農林","2017/3/10 14:58","2230","-13","-0.58","2243","2240","2241","2223","2800","6265","12527","1743","2743"
"1382","ホーブ","JQS","水産・農林","2017/3/10 13:03","1015","+5","+0.50","1010","1015","1015","1015","200","203","773","710","1310"
"1383","ベルグアース","JQS","水産・農林","2017/3/10 15:00","1486","+22","+1.50","1464","1474","1486","1460","4900","7224","1887","1164","1764"
"1384","ホクリヨウ","東証一部","水産・農林","2017/3/10 15:00","797","+2","+0.25","795","790","800","790","29300","23346","6742","645","945"
"1400","ルーデン・ホールディングス","JQG","建設","2017/3/10 14:52","176","+3","+1.73","173","175","177","175","5900","1038","1762","123","223"
"1401","エムビーエス","東証マザ","建設","2017/3/10 15:00","7260","-240","-3.20","7500","7350","7410","7200","16500","120505","5282","6000","9000"
"1407","ウエストホールディングス","JQS","建設","2017/3/10 15:00","805","-5","-0.62","810","814","815","803","136800","110491","21924","660","960"
"1408","サムシングホールディングス","JQG","建設","2017/3/10 14:55","482","+1","+0.21","481","487","487","481","2700","1307","1983","401","561"
"1413","桧家ホールディングス","名証二部","建設","2017/3/10 15:04","2209","+16","+0.73","2193","2200","2210","2180","31500","69249","29987","1693","2693"
"1414","ショーボンドホールディングス","東証一部","建設","2017/3/10 15:00","5010","+30","+0.60","4980","5000","5020","4990","81300","407084","145804","4280","5680"
"1417","ミライト・ホールディングス","東証一部","建設","2017/3/10 15:00","1166","+15","+1.30","1151","1174","1177","1165","357400","418239","99555","851","1451"
"1418","インターライフホールディングス","JQS","建設","2017/3/10 15:00","293","+2","+0.69","291","291","294","289","84600","24709","5863","211","371"
"1419","タマホーム","東証一部","建設","2017/3/10 15:00","559","0","0.00","559","565","565","555","55300","31050","16801","459","659"
"1420","サンヨーホームズ","東証一部","建設","2017/3/10 15:00","701","+1","+0.14","700","700","703","700","22800","15984","8847","550","850"
"1429","日本アクア","東証マザ","建設","2017/3/10 15:00","422","+5","+1.20","417","421","424","418","65700","27641","15249","337","497"
"1430","ファーストコーポレーション","東証一部","建設","2017/3/10 15:00","974","-23","-2.31","997","987","993","963","209600","205044","12893","847","1147"
"1431","エスケーホーム","福証QB","建設","2017/3/10 09:00","933","+3","+0.32","930","933","933","933","100","93","1018","780","1080"
"1433","ベステラ","東証マザ","建設","2017/3/10 15:00","2300","-39","-1.67","2339","2380","2380","2300","64500","149460","19102","1839","2839"
"1434","JESCOホールディングス","東証二部","建設","2017/3/10 15:00","443","-5","-1.12","448","448","452","441","14700","6540","2773","368","528"
"1435","インベスターズクラウド","東証一部","建設","2017/3/10 15:00","5030","-50","-0.98","5080","5100","5140","5010","109000","550347","76910","4080","6080"
"1436","フィット","東証マザ","建設","2017/3/10 15:00","1215","+8","+0.66","1207","1216","1225","1205","18800","22856","5188","907","1507"
"1438","岐阜造園","名証二部","建設","2017/3/10 15:13","1160","-10","-0.85","1170","1170","1170","1156","2600","3021","1684","870","1470"
"1439","安江工務店","JQS","建設","2017/3/10 15:00","2033","-7","-0.34","2040","2030","2078","2012","27900","56600","2486","1540","2540"
"1491","中外鉱業","東証二部","非鉄金属","2017/3/10 15:00","28","-1","-3.45","29","29","29","28","416500","11705","8113","1","59"
"1514","住石ホールディングス","東証一部","鉱業","2017/3/10 15:00","102","+2","+2.00","100","101","102","100","291400","29442","6007","50","150"
"1515","日鉄鉱業","東証一部","鉱業","2017/3/10 15:00","5720","-30","-0.52","5750","5820","5820","5700","20300","116967","47775","4750","6750"
"1518","三井松島産業","東証一部","鉱業","2017/3/10 15:00","1578","+1","+0.06","1577","1591","1596","1566","145000","229728","21883","1177","1977"
